roles;skill;attribute;description;imagePath;
Aello;Killing by One Hit;power;killer in the dark;/thief;
Echione;Fly Flash;fast;fly with wind,fly with blood;/thief;
Draco;Trample Anything;blood;God will be on my foots;/thief;
Centus;Wind Storm;fast;Wind is my brother;/thief;
Deino;Small Mimic;blood;I am a small pokemon;/thief;
Dionysus;No Die For Me;blood;No death in my life;/thief;
Volatos;Lucky Bite;defend;Holy fish can give you luck;/thief;
Eurytus;Knight Judge;power;I want to a pokemon lady;/thief;
Vampire;Fire to Sky;fast;I am brother of sagnos;/thief;
Argus;Dust Ruin;blood;I am father of deino;/thief;
Gorgo;One Punch;power;Hnmmmmm...Hoooooooooo!;/thief;
Hylaeus;Catch Wind;fast;Child of Wind,help me!;/thief;
Enyo;Angle of God;power;I am sister of cattle;/thief;
Zephyrus;Wind and Rain Down;power;Large Body,Shade Sky;/thief;
Cattle;Eyes of God;blood;Can you stand my eyes?;/thief;
Leaena;Old Smiles;defend;Many pokemons are my childs;/thief;
Pholus;Justice Light;power;Justice rain from above;/thief;
Urania;Evil Spit;power;No one can run away from me!;/thief;
Stilbon;Wind from Fire;defend;Well!Fire!Fire!Fire!;/thief;
Cyprian;Roar Stars;blood;Give me my princess;/thief;
Nomeon;Ball Lightning;fast;Lightning give me hope!;/thief;
Centaur;Bite World;power;Are you my master?;/thief;
Mormo;Fatal Penetrate;defend;I like clean dirt!;/thief;
Argo;Jump into Sky;fast;Sky is at my foot;/thief;
Eudromus;Pig Pig;power;Guess I am pig or not?;/thief;
Phanes;Single Ram;defend;I want to take a shower;/thief;
Spargeus;Big Speak;blood;One brother is different;/thief;
Ocydrome;Wildly Hit;defend;No one can hurt me...;/thief;
Lycaon;Meet Death;power;Beg me for your life;/thief;
Sagnos;Jealous Feather;fast;Most beautiful pokemon is me;/thief;
Theriphone;Tail Hit;blood;I have nine times for life;/thief;
Orias;Metal Stomach;defend;Come on!Baby!;/thief;
Scylla;Wind Abracadabra;power;Handsome is created for me!;/thief;
Borax;Command of King;defend;The King comes here;/thief;
Lamia;Fire You!;power;I can fire you to nothing;/thief;
